GEOID,LAND_AREA,Tot_Population_ACS_17_21,pct_Males_ACS_17_21,Median_Age_ACS_17_21,pct_Pop_5_17_ACS_17_21,pct_Pop_18_24_ACS_17_21,pct_Pop_25_44_ACS_17_21,pct_Pop_45_64_ACS_17_21,pct_Pop_65plus_ACS_17_21,pct_Hispanic_ACS_17_21,pct_NH_White_alone_ACS_17_21,pct_NH_Blk_alone_ACS_17_21,pct_NH_AIAN_alone_ACS_17_21,pct_NH_Asian_alone_ACS_17_21,pct_NH_NHOPI_alone_ACS_17_21,pct_NH_SOR_alone_ACS_17_21,pct_NH_Multi_Races_ACS_17_21,pct_Othr_Lang_ACS_17_21,pct_Not_HS_Grad_ACS_17_21,pct_College_ACS_17_21,pct_Prs_Blw_Pov_Lev_ACS_17_21,pct_Rel_Family_HHD_ACS_17_21,pct_MrdCple_HHD_ACS_17_21,pct_Not_MrdCple_HHD_ACS_17_21,pct_HHD_PPL_Und_18_ACS_17_21,avg_Tot_Prns_in_HHD_ACS_17_21,pct_Rel_Under_6_ACS_17_21,pct_PUB_ASST_INC_ACS_17_21,Med_HHD_Inc_BG_ACS_17_21,Aggregate_HH_INC_ACS_17_21,avg_Agg_HH_INC_ACS_17_21,Tot_Housing_Units_ACS_17_21,Tot_Occp_Units_ACS_17_21,pct_Tot_Occp_Units_ACS_17_21,Occp_U_NO_PH_SRVC_ACS_17_21,pct_Occp_U_NO_PH_SRVC_ACS_17_21,phone_response_rate_cen_2020,pct_URBAN_POP_CEN_2020,pct_RURAL_POP_CEN_2020
5.3004E+11,320.61,800,57.88,38.1,31.13,1.25,24,21.88,15.75,0,92.25,0,0,0.88,0,1.25,5.63,0,9.94,26.37,5.25,51.57,33.65,66.35,34.28,2.52,23.17,0,66413,23527700,73986,379,318,0.839050132,0,0,0.5,29.72,70.28
5.3004E+11,11.314,2419,49.03,55.5,15.13,4.96,16.33,25.88,35.18,1.45,90.82,0,0,0.54,1.53,1.94,3.72,1.82,5.56,33.65,3.1,74.86,65.81,34.19,19.62,2.3,5.85,0,87171,132147300,125855,1101,1050,0.953678474,9,0.008174387,1.6,83.33,16.67
5.3004E+11,1.211,1248,51.04,49.4,12.34,3.21,19.55,30.85,28.61,7.29,92.71,0,0,0,0,0,0,8.14,3.65,44.32,6.57,73.31,61.9,38.1,22.44,2.41,13.46,3.29,94609,43502600,84144,517,517,1,0,0,1.3,98.84,1.16
5.3004E+11,0.388,784,42.35,56.7,5.23,11.61,7.78,32.78,39.67,2.68,97.32,0,0,0,0,0,0,2.37,4.61,19.55,3.95,59.33,48.45,51.55,9.07,2.03,15.28,0,70192,53428000,138415,473,386,0.816067653,0,0,1.6,100,0
5.3004E+11,1.169,683,40.85,60.2,0.59,0,23.43,41.43,34.55,0,98.39,0,0,0,0,0,1.61,3.51,10.16,34.76,0,85.09,83.63,16.37,1.46,2,0,1.17,91579,42457800,124146,364,342,0.93956044,0,0,1,88.85,11.15
5.3004E+11,110.864,1922,39.49,40.9,21.28,6.3,21.85,27.11,21.49,6.4,81.06,2.76,0,0,0,0,9.78,6.42,9.23,21.27,11.13,59.29,52.08,47.92,28.12,2.34,7.42,0,62917,55772000,68181,832,818,0.983173077,0,0,0.9,85.16,14.84
5.3004E+11,0.788,564,52.13,50.6,8.33,7.8,23.94,42.55,14.89,7.45,90.07,0,0,0,0,0,2.48,4.55,8.06,13.73,25.18,24.54,17.1,82.9,16.36,2.1,24.24,5.58,34402,19203900,71390,269,269,1,0,0,1.4,100,0
5.3004E+11,0.141,990,46.46,35.6,17.78,12.42,27.27,23.43,13.13,20,79.09,0,0,0,0,0,0.91,7.95,21.52,3.96,24.65,68.86,30.54,69.46,46.41,2.96,13.48,7.19,38125,16975500,50825,417,334,0.800959233,0,0,0.3,100,0
5.3004E+11,0.198,787,58.2,32.6,23.76,9.66,31.26,22.62,9.53,9.28,90.72,0,0,0,0,0,0,7.61,13.83,16.23,26.29,43.17,26.98,73.02,32.01,2.83,25.83,5.76,50500,17425700,62682,278,278,1,10,0.035971223,0.8,100,0
5.3004E+11,0.374,1162,51.81,33.5,11.45,10.15,35.37,18.67,12.91,1.38,95.27,0,0,0.95,0.43,0,1.98,0.87,0.64,16.58,6.24,56.68,44.93,55.07,34.56,2.51,39.84,0,59886,28494200,65655,470,434,0.923404255,0,0,0.8,100,0
